ID_REF  VALUE   PLIER
1552456_a_at    0.3987731       0.11328153
1552457_a_at    0.44209102      0.01
1552458_at      0.9928034       1.3118349
1552459_a_at    0.57681656      0.35755193
1552461_at      0.4139398       1.2151183
1552463_at      0.5326041       0.9928335
1552466_x_at    1.31791 1.1859862
1552467_at      1.0810366       0.5395282
1552468_a_at    0.4222154       0.9721529
1552470_a_at    0.40751308      0.78812253
1552472_a_at    0.98453915      0.9886987
1552473_at      0.9949391       1.1715726
1552474_a_at    0.9284615       0.8526107
1552476_s_at    1.2539816       1.1111721
1552477_a_at    0.44342652      1.0625833
1552478_a_at    0.72243184      0.9568264
1552480_s_at    1.75398 1.6897182
1552481_s_at    1.0142065       1.0520391
1552482_at      1.0096599       1.1656299
1552484_at      0.37620658      0.94525206
1552485_at      0.6964714       0.79969305
1552486_s_at    0.5612692       0.45118275
1552487_a_at    0.64931494      0.01
1552489_s_at    0.63049674      0.7420302
1552490_at      0.85750353      0.93604153
1552491_at      0.62375784      0.7248904
1552493_s_at    0.47996467      1.4921597
1552494_at      0.8809062       0.8531932
1552496_a_at    0.9709729       0.945249
1552497_a_at    1.000069        1.4320198
1552498_at      0.9575822       1.1810163
1552499_a_at    0.62907207      1.4920478
1552501_a_at    0.6380298       1.2990361
1552502_s_at    1.3222595       1.2103024
1552503_at      0.39022058      0.604293
1552504_a_at    0.70771766      0.7008052
1552506_at      2.297722        1.4183707
1552507_at      1.8056314       1.8158077
1552508_at      0.5829386       1.008416
1552509_a_at    0.51931775      0.94311094
1552510_at      0.92724824      0.9213579
1552511_a_at    0.56679153      0.22333509
1552514_at      0.86916167      0.8648218
1552515_at      0.47951245      0.9104812
1552516_a_at    1.4385151       1.270994
1552518_s_at    0.8566819       0.62573934
1552519_at      0.6185525       0.6113104
1552520_at      1.1676195       1.0531684
1552521_a_at    1.7897294       1.586972
1552522_at      1.0154622       1.4598576
1552523_a_at    1.0894145       0.96545756
1552524_at      1.1481787       0.8268059
1552526_at      0.37613565      0.69463784
1552528_at      0.8253469       0.89233327
1552531_a_at    0.44627795      1.7178719
1552532_a_at    0.71917063      0.61912847
1552535_at      0.44838622      1.1461139
1552536_at      2.760547        1.5417558
1552538_a_at    2.351622        3.2346647
1552540_s_at    0.64772564      1.5684499
1552541_at      1.0692961       1.1200596
1552542_s_at    0.4062857       1.6261629
1552543_a_at    1.5788243       1.8007033
1552544_at      1.1350222       1.484974
1552546_a_at    0.84352577      2.6060483
1552548_at      0.63025916      1.2064278
1552549_a_at    0.54943216      0.4181934
1552552_s_at    0.76446843      0.9204851
1552553_a_at    0.48441902      0.77289844
1552554_a_at    0.76677793      0.9324348
1552555_at      0.91586965      0.7911459
1552557_a_at    1.0046082       0.83096796
1552558_a_at    1.4598644       0.80632687
1552559_a_at    0.6959621       0.6378266
1552562_at      0.65025204      0.77136207
1552563_a_at    1.5336841       1.236283
1552564_at      0.9185277       0.8650734
1552566_at      0.42661604      1.87308
1552568_at      0.5112549       0.92889965
1552569_a_at    0.36194456      0.5226592
1552570_at      0.94134724      0.8384457
1552572_a_at    0.9242891       1.1640266
